Rank;Arbitri Designati;Designazioni;% Designazioni;Nazionali;Regionali;Operatore;Baseball;Softball;Serie A Baseball 2022;Serie B Baseball 2022;Serie C Baseball 2022;Serie A Coppa Italia Baseball 2022;Serie A1 Softball 2022;Serie A2 Softball 2022;Serie B Softball 2022;Serie A1 Coppa Italia Softball 2022;Campionato Baseball x Ciechi 2022;Mini Baseball 2022;U12 Baseball 2022;U15 Baseball 2022;U18 Baseball 2022;U13 Softball 2022;U15 Softball 2022;U18 Softball 2022;Campionato Amatoriale Softball 2022
1;Marchisio Silvia;64;7,628%;39;25;0;6;58;0;0;0;0;10;17;12;0;0;0;6;0;0;4;6;9;0
2;Salgado Perez Raul;58;6,912%;51;7;0;0;58;0;0;0;0;21;20;8;2;0;0;0;0;0;0;2;2;3
3;Iacono Sebastian;57;6,793%;55;2;0;57;0;40;4;3;8;0;0;0;0;0;0;0;0;2;0;0;0;0
4;De Vuono Ermanno;51;6,078%;39;12;0;47;4;20;15;1;2;0;0;0;0;1;0;4;0;4;2;1;0;1
5;Dalla Francesca Denis Giovanni;50;5,959%;34;10;6;0;50;0;0;0;0;4;15;19;2;0;0;0;0;0;4;5;1;0
6;Rinnovatore Mariocarlo;50;5,959%;48;2;0;50;0;35;10;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0
7;Crescenzi Emilio;48;5,721%;18;30;0;45;3;0;15;3;0;0;0;0;0;0;0;4;7;16;0;2;1;0
8;Maiuolo Leonardo;46;5,482%;32;14;0;0;46;0;0;0;0;0;17;15;0;0;0;0;0;0;6;5;0;3
9;Nucibella Luana;43;5,125%;35;8;0;0;43;0;0;0;0;0;17;18;0;0;0;0;0;0;2;3;3;0
10;Peano Roberto;43;5,125%;28;15;0;43;0;0;26;2;0;0;0;0;0;0;0;0;0;15;0;0;0;0
11;Figini Fabio;40;4,767%;32;8;0;38;2;0;26;6;0;0;0;0;0;0;0;0;0;6;0;2;0;0
12;La Monica Giacomo;39;4,648%;21;18;0;36;3;0;2;15;0;0;0;0;0;4;0;3;6;6;0;0;3;0
13;Baldayac Grullon Ezequiel;32;3,814%;29;3;0;32;0;22;2;5;0;0;0;0;0;0;0;2;1;0;0;0;0;0
14;Casiraghi Fabio;32;3,814%;15;17;0;32;0;0;2;13;0;0;0;0;0;0;0;0;7;10;0;0;0;0
15;Giussani Emanuele;24;2,860%;17;7;0;2;22;0;0;1;0;0;0;16;0;0;0;0;0;1;2;4;0;0
16;Sanchez De La Cruz Arleys;21;2,502%;10;11;0;0;21;0;0;0;0;0;0;10;0;0;0;0;0;0;2;4;5;0
17;Losquadro Gianpaolo;20;2,383%;19;1;0;20;0;10;8;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
18;Radice Sergio;20;2,383%;3;0;17;5;15;4;0;1;0;14;0;0;1;0;0;0;0;0;0;0;0;0
19;Alberton Cristina;17;2,026%;17;0;0;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0
20;Casiraghi Biancamaria;17;2,026%;17;0;0;17;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0
21;Fiorini Mauro;13;1,549%;8;5;0;0;13;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;1;0
22;Virgili Antonio;13;1,549%;3;10;0;13;0;0;0;3;0;0;0;0;0;0;0;4;5;1;0;0;0;0
23;Fior Dario Guido;11;1,311%;10;1;0;10;1;0;0;0;0;0;0;0;0;10;0;0;0;0;0;1;0;0
24;Vimercati Daniele Carlo;10;1,191%;0;8;2;4;6;0;0;0;0;2;0;0;0;0;0;0;3;1;0;0;4;0
25;Frabetti Andrea Ferdinando;9;1,072%;9;0;0;9;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
26;Setti Lorenzo;4;0,476%;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
27;Trivarelli Emanuele;2;0,238%;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
28;Zaffaroni Claudio;2;0,238%;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
29;Berlusconi Alberto;1;0,119%;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
30;Berlusconi Marco Cesare;1;0,119%;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
31;Farina Denis;1;0,119%;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
32;Cesana Nicola;0;0,000%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Sacchi Adriano;0;0,000%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Valente Naike;0;0,000%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Verga Eugenio;0;0,000%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;839;;;;;;;;;;;;;;;;;;;;;;;
