Id_Comanda;Giorno;Id_dipendente;Tavolo;OrdineCibo;Ordinebevanda;Id_provider
1;03/01/2022;2;1;23;34;4
2;03/01/2022;3;1;30;37;1
3;03/01/2022;3;1;28;38;4
4;03/01/2022;4;1;8;35;5
5;03/01/2022;4;2;29;37;1
6;03/01/2022;2;2;13;37;2
7;03/01/2022;4;2;28;35;3
8;03/01/2022;2;2;31;34;2
9;03/01/2022;4;2;13;39;4
10;03/01/2022;2;3;29;35;1
11;03/01/2022;4;3;21;35;1
12;03/01/2022;3;3;3;38;3
13;03/01/2022;3;3;26;33;1
14;03/01/2022;3;3;18;35;2
15;03/01/2022;2;3;2;39;5
16;03/01/2022;2;3;25;39;2
17;03/01/2022;4;3;11;37;3
18;03/01/2022;4;3;28;37;1
19;03/01/2022;2;4;15;37;3
20;03/01/2022;2;4;2;33;5
21;03/01/2022;3;4;20;34;5
22;03/01/2022;3;4;10;37;1
23;03/01/2022;2;4;21;33;1
24;03/01/2022;2;4;21;39;1
25;03/01/2022;3;5;1;37;3
26;03/01/2022;4;5;29;35;5
27;03/01/2022;4;5;14;36;2
28;03/01/2022;3;5;28;34;1
29;03/01/2022;3;5;11;36;3
30;03/01/2022;2;5;5;33;3
31;03/01/2022;4;5;22;35;1
32;03/01/2022;2;6;24;33;3
33;03/01/2022;2;6;30;35;1
34;03/01/2022;3;6;7;36;1
35;03/01/2022;4;6;28;38;2
36;03/01/2022;3;6;9;39;1
37;03/01/2022;3;6;28;37;3
38;03/01/2022;3;6;16;34;1
39;03/01/2022;2;6;23;33;5
40;03/01/2022;2;7;23;37;1
41;03/01/2022;3;7;8;33;3
42;03/01/2022;2;7;10;39;3
43;03/01/2022;3;7;4;38;1
44;03/01/2022;2;7;21;33;1
45;03/01/2022;2;7;5;35;3
46;03/01/2022;2;8;23;36;3
47;03/01/2022;2;8;31;33;3
48;03/01/2022;3;8;23;37;2
49;03/01/2022;4;8;15;34;1
50;03/01/2022;3;8;20;34;1
51;03/01/2022;4;8;24;38;3
52;03/01/2022;2;8;10;34;3
53;03/01/2022;4;8;23;33;3
54;03/01/2022;4;8;15;37;1
55;03/01/2022;3;9;27;39;1
56;03/01/2022;3;9;28;37;3
57;03/01/2022;2;9;21;36;3
58;03/01/2022;3;9;31;38;4
59;03/01/2022;3;10;32;33;2
60;03/01/2022;2;10;18;38;3
61;03/01/2022;3;10;8;38;5
62;04/01/2022;4;1;19;38;1
63;04/01/2022;4;1;16;33;1
64;04/01/2022;4;1;20;34;5
65;04/01/2022;4;1;23;35;1
66;04/01/2022;4;1;27;36;3
67;04/01/2022;3;1;0;35;5
68;04/01/2022;2;1;12;38;1
69;04/01/2022;2;1;0;37;3
70;04/01/2022;4;1;16;36;1
71;04/01/2022;4;2;3;37;3
72;04/01/2022;2;2;8;35;4
73;04/01/2022;4;2;25;37;1
74;04/01/2022;2;2;10;39;1
75;04/01/2022;3;2;16;39;2
76;04/01/2022;3;3;11;39;2
77;04/01/2022;3;3;22;36;4
78;04/01/2022;3;3;27;34;4
79;04/01/2022;2;3;10;34;2
80;04/01/2022;3;4;27;36;3
81;04/01/2022;3;4;13;39;1
82;04/01/2022;4;4;8;35;2
83;04/01/2022;2;4;18;34;1
84;04/01/2022;3;5;5;34;2
85;04/01/2022;2;5;3;33;4
86;04/01/2022;2;5;10;37;3
87;04/01/2022;2;5;8;37;1
88;04/01/2022;3;5;2;35;1
89;04/01/2022;3;5;1;37;5
90;04/01/2022;4;5;5;36;1
91;04/01/2022;4;5;21;34;1
92;04/01/2022;2;5;31;34;3
93;04/01/2022;4;5;22;34;4
94;04/01/2022;3;6;13;35;3
95;04/01/2022;4;6;28;37;2
96;04/01/2022;2;6;19;39;5
97;04/01/2022;4;6;17;33;3
98;04/01/2022;3;6;26;35;3
99;04/01/2022;2;6;13;33;2
100;04/01/2022;4;6;4;33;1
101;04/01/2022;4;6;30;37;3
102;04/01/2022;2;6;19;37;4
103;04/01/2022;4;6;19;36;4
104;04/01/2022;3;6;17;37;4
105;04/01/2022;2;6;17;37;1
106;04/01/2022;3;6;11;37;1
107;04/01/2022;4;6;5;34;1
108;04/01/2022;4;6;24;34;4
109;04/01/2022;4;6;9;36;1
110;04/01/2022;4;6;9;39;4
111;04/01/2022;2;6;7;37;2
112;04/01/2022;4;7;14;36;2
113;04/01/2022;3;7;4;34;4
114;04/01/2022;4;7;6;39;3
115;04/01/2022;4;7;19;35;5
116;04/01/2022;2;7;10;36;5
117;04/01/2022;2;7;26;33;1
118;04/01/2022;3;7;30;38;5
119;04/01/2022;2;8;30;39;1
120;04/01/2022;2;8;23;36;1
121;04/01/2022;4;8;26;35;3
122;04/01/2022;4;8;27;35;5
123;04/01/2022;2;8;24;35;1
124;04/01/2022;3;8;5;35;3
125;04/01/2022;4;8;15;36;1
126;04/01/2022;2;9;0;38;3
127;04/01/2022;4;9;2;35;5
128;04/01/2022;3;9;18;33;1
129;04/01/2022;2;9;28;39;5
130;04/01/2022;4;9;22;37;1
131;04/01/2022;4;10;30;34;1
132;04/01/2022;2;10;0;39;3
133;04/01/2022;3;10;3;33;2
134;04/01/2022;4;10;24;38;1
135;04/01/2022;3;10;3;35;1
136;04/01/2022;4;10;3;37;3
137;04/01/2022;4;10;9;37;1
138;04/01/2022;2;10;23;35;5
139;05/01/2022;4;1;7;36;2
140;05/01/2022;3;1;9;38;5
141;05/01/2022;2;1;11;39;1
142;05/01/2022;3;1;7;35;5
143;05/01/2022;3;1;20;33;2
144;05/01/2022;4;1;28;33;1
145;05/01/2022;3;1;14;39;5
146;05/01/2022;2;1;13;33;1
147;05/01/2022;2;1;9;37;1
148;05/01/2022;4;1;17;34;1
149;05/01/2022;3;1;1;33;1
150;05/01/2022;2;2;6;34;1
151;05/01/2022;3;2;24;33;3
152;05/01/2022;2;2;18;36;1
153;05/01/2022;4;2;1;34;5
154;05/01/2022;3;2;16;35;2
155;05/01/2022;4;3;30;34;5
156;05/01/2022;3;3;8;34;1
157;05/01/2022;2;3;13;39;1
158;05/01/2022;2;3;19;36;3
159;05/01/2022;4;3;15;34;3
160;05/01/2022;2;4;31;37;5
161;05/01/2022;2;4;6;36;1
162;05/01/2022;2;4;18;34;2
163;05/01/2022;3;4;19;33;5
164;05/01/2022;2;4;14;36;3
165;05/01/2022;4;5;16;38;2
166;05/01/2022;3;5;8;36;1
167;05/01/2022;4;5;4;39;1
168;05/01/2022;2;5;28;33;1
169;05/01/2022;4;6;15;34;1
170;05/01/2022;2;6;18;36;1
171;05/01/2022;2;6;1;36;1
172;05/01/2022;4;7;3;38;2
173;05/01/2022;2;7;8;35;3
174;05/01/2022;2;7;14;34;3
175;05/01/2022;3;7;4;38;1
176;05/01/2022;3;7;32;36;1
177;05/01/2022;3;7;12;37;3
178;05/01/2022;4;7;26;34;4
179;05/01/2022;3;7;19;38;1
180;05/01/2022;2;7;32;38;2
181;05/01/2022;2;7;22;38;1
182;05/01/2022;3;7;23;34;1
183;05/01/2022;4;7;14;36;1
184;05/01/2022;3;8;8;37;5
185;05/01/2022;4;8;0;36;4
186;05/01/2022;4;8;21;36;1
187;05/01/2022;3;8;26;33;4
188;05/01/2022;4;9;28;35;4
189;05/01/2022;2;9;29;34;1
190;05/01/2022;3;9;27;38;5
191;05/01/2022;4;9;30;36;5
192;05/01/2022;2;9;18;33;1
193;05/01/2022;4;10;16;33;3
194;05/01/2022;4;10;16;36;5
195;05/01/2022;4;10;5;36;1
196;05/01/2022;3;10;11;39;1
197;05/01/2022;3;10;20;38;5
198;06/01/2022;2;1;7;35;2
199;06/01/2022;2;1;16;39;4
200;06/01/2022;4;1;20;38;1
201;06/01/2022;3;1;2;39;3
202;06/01/2022;2;1;14;33;4
203;06/01/2022;2;1;11;39;1
204;06/01/2022;4;1;12;36;1
205;06/01/2022;4;1;27;38;1
206;06/01/2022;2;2;14;36;2
207;06/01/2022;4;2;2;37;1
208;06/01/2022;3;2;4;37;3
209;06/01/2022;2;2;5;38;1
210;06/01/2022;4;3;2;34;1
211;06/01/2022;3;3;7;38;1
212;06/01/2022;3;3;32;39;3
213;06/01/2022;4;3;0;35;5
214;06/01/2022;2;4;5;35;3
215;06/01/2022;4;4;15;39;4
216;06/01/2022;3;4;31;33;1
217;06/01/2022;4;4;23;39;1
218;06/01/2022;3;5;0;34;1
219;06/01/2022;2;5;31;35;3
220;06/01/2022;3;5;8;38;1
221;06/01/2022;4;5;31;38;1
222;06/01/2022;4;5;11;37;4
223;06/01/2022;2;5;4;39;1
224;06/01/2022;3;5;13;39;5
225;06/01/2022;2;6;23;33;5
226;06/01/2022;2;6;12;35;5
227;06/01/2022;4;6;19;34;3
228;06/01/2022;3;6;4;35;5
229;06/01/2022;3;6;4;39;2
230;06/01/2022;2;6;16;38;5
231;06/01/2022;3;7;11;36;5
232;06/01/2022;4;7;23;33;1
233;06/01/2022;4;7;27;33;3
234;06/01/2022;3;7;19;35;1
235;06/01/2022;3;7;31;38;2
236;06/01/2022;3;7;8;35;1
237;06/01/2022;3;7;27;33;2
238;06/01/2022;4;8;10;36;5
239;06/01/2022;2;8;28;38;5
240;06/01/2022;4;8;29;37;1
241;06/01/2022;4;8;32;35;2
242;06/01/2022;3;8;26;33;3
243;06/01/2022;4;8;8;35;3
244;06/01/2022;2;9;28;33;2
245;06/01/2022;3;9;22;38;2
246;06/01/2022;4;9;17;33;1
247;06/01/2022;3;9;17;34;1
248;06/01/2022;3;10;32;38;5
249;06/01/2022;2;10;3;37;4
250;06/01/2022;2;10;5;33;1
251;07/01/2022;4;1;14;33;3
252;07/01/2022;4;1;28;37;1
253;07/01/2022;3;1;15;35;3
254;07/01/2022;3;1;16;38;3
255;07/01/2022;2;1;21;39;5
256;07/01/2022;2;2;32;39;5
257;07/01/2022;3;2;8;34;3
258;07/01/2022;3;2;20;37;1
259;07/01/2022;2;2;18;37;5
260;07/01/2022;4;2;0;34;5
261;07/01/2022;2;3;17;35;1
262;07/01/2022;3;3;2;36;4
263;07/01/2022;3;3;24;36;5
264;07/01/2022;2;3;17;34;5
265;07/01/2022;4;3;11;38;4
266;07/01/2022;2;3;9;39;1
267;07/01/2022;2;3;8;39;3
268;07/01/2022;3;4;1;39;1
269;07/01/2022;4;4;25;35;4
270;07/01/2022;2;4;11;35;2
271;07/01/2022;4;4;23;33;1
272;07/01/2022;3;5;31;35;1
273;07/01/2022;4;5;8;39;1
274;07/01/2022;2;5;20;38;4
275;07/01/2022;2;5;0;35;1
276;07/01/2022;2;5;31;37;5
277;07/01/2022;4;6;16;34;1
278;07/01/2022;4;6;23;39;1
279;07/01/2022;2;6;8;37;4
280;07/01/2022;2;6;9;36;1
281;07/01/2022;4;6;3;39;3
282;07/01/2022;3;7;11;36;1
283;07/01/2022;3;7;8;35;2
284;07/01/2022;2;7;4;38;2
285;07/01/2022;3;7;15;35;1
286;07/01/2022;2;7;4;35;1
287;07/01/2022;4;7;26;39;4
288;07/01/2022;4;8;8;33;3
289;07/01/2022;3;8;21;39;1
290;07/01/2022;2;8;29;36;1
291;07/01/2022;4;9;23;34;1
292;07/01/2022;4;9;21;36;5
293;07/01/2022;3;9;13;34;1
294;07/01/2022;3;9;2;39;4
295;07/01/2022;4;9;28;39;1
296;07/01/2022;4;9;5;33;5
297;07/01/2022;2;10;3;36;1
298;07/01/2022;3;10;3;39;4
299;07/01/2022;4;10;0;37;1
300;07/01/2022;3;10;24;39;5
301;07/01/2022;2;10;1;35;1
302;07/01/2022;4;10;10;39;1
303;07/01/2022;4;10;29;37;3
304;07/01/2022;4;10;13;34;1
305;08/01/2022;4;1;8;35;2
306;08/01/2022;2;1;31;39;4
307;08/01/2022;3;1;3;36;4
308;08/01/2022;3;1;14;34;1
309;08/01/2022;2;2;8;34;2
310;08/01/2022;2;2;20;36;1
311;08/01/2022;3;2;16;38;3
312;08/01/2022;4;2;29;37;1
313;08/01/2022;3;2;17;34;1
314;08/01/2022;3;2;24;37;2
315;08/01/2022;2;2;27;34;5
316;08/01/2022;4;2;29;34;1
317;08/01/2022;4;3;10;36;1
318;08/01/2022;3;3;32;36;3
319;08/01/2022;4;3;21;38;1
320;08/01/2022;3;3;32;38;1
321;08/01/2022;4;3;12;33;1
322;08/01/2022;2;3;4;37;5
323;08/01/2022;3;3;5;36;4
324;08/01/2022;4;4;17;38;1
325;08/01/2022;2;4;7;33;2
